burst_id,time_range,peak_density,duration,topic_label,topic_evidence,dominant_emotion,emotion_evidence_terms,emotion_evidence_comments,content_mix,content_evidence_terms,representative_comments,manual_check_note
E-1,08:10-09:00,1477 条/5s,50 s,KT 放加里奥与 Faker/T1 决胜局讨论,高频词：吓哭了、游戏结束、前方高能、加里奥、吓哭了吓哭了、ban；代表弹幕：「加里奥！」「[前方高能]」,欢呼/激动,吓(65)、吓哭(63)、哭了(62)、神(4)、赢(3)、不是(2)、别(2)、去年(2),「吓哭了」「前方超绝鼓点天神下凡」,比赛事件反应 47% / 选手/队伍评价 34% / 玩梗/黑话 8% / 赛后打卡/复盘 7% / 争议/对骂 3%,加里奥(29)、KT(6)、ban(5)、T1(4)、神(4)、选(4)、青钢影(4)、oner(3),"「kt放加里奥真感觉在开玩笑 ban什么德莱文啊 什么理解」「之前不好？那14-1的潘森是谁打出来的？不还是ONER？」「其实也不是o突然变奏，是开始前就说好这把要帮青钢影」「兰子:此生绝无仅有的机会就在眼前，我要夺冠！」「因为oner的潘森这次世界赛没输过，说什么版本陷阱，就是自己菜」",对应比赛画面事件待人工回看确认
E-2,12:05-12:40,18 条/5s,35 s,BP 阵容与 BDD/小火龙选择讨论,高频词：BDD、bdd、t1、真男人、T1、责任；代表弹幕：「堵得就是t1线上被打爆团战没作用」「小炮慢性死亡，只有小火龙能给队伍赢的希望，所以bdd选下了小火龙」,欢呼/激动,神(6)、最后(3)、赢(3)、不是(2)、完了(2)、冠军(1)、去年(1)、吓(1),「这队友已经被爆完了，只有小火龙能c」「拿小炮三件套之前就烂完了，小火龙两件就能打了」,比赛事件反应 50% / 选手/队伍评价 35% / 玩梗/黑话 7% / 赛后打卡/复盘 5% / 争议/对骂 2%,龙(18)、bdd(17)、选(13)、阵容(11)、T1(10)、团(7)、神(6)、加里奥(5),"「这BP我笑了，不过KT能坚持这么长时间也很强了，教练明年走人吧」「本来牛魔个臭b 捞也中什么时候能意识到这是实力差距」「BDD shu le bi s输了比赛 赢了尊重 好样的」「一个好活不好C 一个好C不好活 横竖都是难受」「小炮慢性死亡，只有小火龙能给队伍赢的希望，所以bdd选下了小火龙」",对应比赛画面事件待人工回看确认
E-3,15:50-18:05,352 条/5s,135 s,“去人声”刷屏与弹幕秩序争论,高频词：去人声、oner、bdd、ren、人声、去人生；代表弹幕：「去人声」「去人声」,弹幕行为,人声(442)、去人声(437)、弹幕(10)、神(3)、赢(3)、不是(2)、傻(2)、刷屏(2),「去人声」「去人声」,比赛事件反应 2% / 选手/队伍评价 2% / 玩梗/黑话 1% / 刷屏/弹幕行为 94% / 赛后打卡/复盘 1% / 争议/对骂 1%,人声(442)、去人声(437)、弹幕(10)、oner(4)、选(4)、加里奥(3)、打野(3)、炸弹人(3),"「青钢影没换掉掘墓血潘森怎么抓？？青钢影补刀都没被压已经玩得很好了」「这个反向闪e失误李哥上一年也在决赛第五把干了,笑死」「还需要证明自己吗？有的人终其生涯都拿不到一冠」「CUZZ比KANAVI好太多了，这些方面」「只要双方玩过就不能选了，也就是说到第五局登场的英雄有50个吧」",对应比赛画面事件待人工回看确认
E-4,20:25-20:40,16 条/5s,15 s,T1 选手表现与队伍评价讨论,高频词：兵升、无视野预判、DRX、Gemini、S12、cd；代表弹幕：「管泽元你个毒奶跟Gemini一样」「细节回头A兵升6」,嘲讽/调侃,哈哈(2)、神(2)、人声(1)、冠军(1)、别(1)、去人声(1)、最后(1)、笑死(1),「去人声」「小K看见最后一下没死，连啃两个饼干」,比赛事件反应 47% / 选手/队伍评价 16% / 玩梗/黑话 11% / 刷屏/弹幕行为 11% / 赛后打卡/复盘 11% / 争议/对骂 5%,炸弹人(3)、神(2)、KT(1)、上路(1)、人声(1)、冠军(1)、加里奥(1)、去人声(1),"「这阵容我真看不懂，杀了小火龙对面还有输出吗」「真正做到一直逆天改命的，只有S12的DRX」「lpl解说天天瞎逼嘲讽多兰你们才觉得他菜」「草里是看不到大招的圈的 和看商店没关系」「这小K是在切屏么，站在边缘居然没有动」",对应比赛画面事件待人工回看确认
E-5,27:00-27:20,12 条/5s,20 s,“去人声”刷屏与弹幕秩序争论,高频词：去人声、Faker、faker100、oner、不就说明紧张、事后诸葛亮；代表弹幕：「去人声」「去人声」,弹幕行为,人声(59)、去人声(59)、紧张(3)、不是(1)、最后(1)、菜(1),「去人声」「去人声」,比赛事件反应 4% / 选手/队伍评价 7% / 刷屏/弹幕行为 87% / 赛后打卡/复盘 1% / 争议/对骂 1%,人声(59)、去人声(59)、多兰(3)、Faker(2)、faker(2)、团(2)、oner(1)、不是(1),"「自己复盘肯定是说没发挥好啊，自己说自己紧张，找借口是吧」「有些人就搁那事后诸葛亮，换你上吗又怂的要死被打的嗷嗷叫。」「说真的，这个和当时超威打Faker那把小火龙何其相似。。。」「此时，拿下一个人头的炸弹人对位经济开始变负数」「整个S赛最后才昏头？云也有个限度」",对应比赛画面事件待人工回看确认
E-6,40:00-40:05,15 条/5s,5 s,多兰开团/找机会片段的复盘与调侃,高频词：多兰、BDD、决胜局这样给、机会吗、FAKER、KT；代表弹幕：「这里小火龙也只是运气好啊，差一丝血有什么好说多兰的」「哈哈哈哈，这把没多兰，乐趣少一半」,争议/愤怒,不是(9)、送(4)、带节奏(3)、最后(3)、哈哈(1)、喷(1)、？？(1),「哈哈哈哈，这把没多兰，乐趣少一半」「多兰开得没毛病，最后通牒是被小火龙带进塔的」,比赛事件反应 33% / 选手/队伍评价 40% / 玩梗/黑话 2% / 刷屏/弹幕行为 4% / 赛后打卡/复盘 4% / 争议/对骂 17%,多兰(24)、龙(17)、不是(9)、团(3)、带节奏(3)、最后(3)、节奏(3)、bdd(2),"「这里小火龙也只是运气好啊，差一丝血有什么好说多兰的」「这个墙很怪，小火龙不是百分百能e过去的，刚好e过去把青钢影带走了」「解说有问题吧，压根不是越二塔，这里是多兰开团慢了而已，一直带节奏」「解说把多兰的舆论全带偏了，人家是被带进塔而不是主动越塔」「回放就知道了，多兰不是想开，而是被小火龙带过墙了」",对应比赛画面事件待人工回看确认
E-7,41:40-42:15,20 条/5s,35 s,T1 选手表现与队伍评价讨论,高频词：弹幕时间、keria、guma、Gumayusi、fmvp、t1；代表弹幕：「Guma高光时刻」「keria世界第一辅助」,争议/愤怒,弹幕(15)、不是(8)、送(6)、神(5)、赢(5)、别(4)、傻(3)、哈哈(3),「一帮看了结果的在这说青钢影没问题 这要是排位你家3-0上单一直给小火龙送你早就开喷了」「多蘭只是個大誘餌 看看女槍打得快殘血 這邊多蘭真的不是送的」,比赛事件反应 21% / 选手/队伍评价 51% / 玩梗/黑话 5% / 刷屏/弹幕行为 10% / 争议/对骂 12%,多兰(43)、弹幕(15)、龙(9)、不是(8)、GUMA(7)、guma(7)、团(7)、队(6),"「skt的玫瑰梗来自于K队 和gumayusi有一毛钱关系吗？」「多兰好像投石问路的那颗石头，打团不好开，把多兰丢出去，可以了开吧」「不是，傻呗解说不看多兰承伤的吗？他tmd伤害吃满了好吗」「这就是t1阵容的效果，人都冲进去，没人管女枪，啊哈哈哈伤害打满」「那为什么不可以卖，我去我也可以卖，就进去躺赢谁不会？」",对应比赛画面事件待人工回看确认
E-8,45:20-45:45,20 条/5s,25 s,多兰开团/找机会片段的复盘与调侃,高频词：多兰、faker、证明给我看、Faker、oner、兰子；代表弹幕：「还有人说语音。这里的确是老李让多兰看有没有机会开，那也不代表你就要顶着塔，又不是必须开而且先交e的位置导致自己没退路后面怎么出来？e到墙上二段忍住，不对还能放二段出去，就是青钢影玩的真不好」「多兰：如果六冠是你的，证明给我看！」,嘲讽/调侃,送(11)、不是(8)、哈哈(8)、六冠(4)、笑死(4)、紧张(4)、别(3)、冠军(2),「还有人说语音。这里的确是老李让多兰看有没有机会开，那也不代表你就要顶着塔，又不是必须开而且先交e的位置导致自己没退路后面怎么出来？e到墙上二段忍住，不对还能放二段出去，就是青钢影玩的真不好」「多兰：如果六冠是你的，证明给我看！」,比赛事件反应 14% / 选手/队伍评价 62% / 玩梗/黑话 10% / 刷屏/弹幕行为 1% / 赛后打卡/复盘 2% / 争议/对骂 12%,多兰(30)、李哥(17)、兰子(11)、Faker(10)、faker(10)、不是(8)、oner(5)、怪(4),"「多兰：老李，这就是你的极限了吗？我不信！！！」「赛后语音，李哥指挥的，多多的兰就上了哈哈哈哈哈哈哈哈哈」「弹幕牛逼了，叫你找机会你这样找机会是吧，还得怪李哥呗」「兰子第一次世界冠军太紧张了，让打谁打谁了哈哈哈哈」「其实整局看下来就这里发狂了，前面两次真还好吧」",对应比赛画面事件待人工回看确认
E-9,49:15-49:20,12 条/5s,5 s,T1 夺冠、纪录与赛后打卡复盘,高频词：补个妆、Keria、gumayusi、kt、lck、oner；代表弹幕：「先补个妆」「小K补个妆先」,嘲讽/调侃,哈哈(2)、神(2)、离谱(1)、笑死(1),「那是提神的兄弟们」「小k补个妆哈哈哈哈哈哈哈」,比赛事件反应 33% / 选手/队伍评价 44% / 玩梗/黑话 11% / 赛后打卡/复盘 6% / 争议/对骂 6%,多兰(3)、神(2)、龙(2)、GUMA(1)、KT(1)、T1(1)、guma(1)、oner(1),"「小K天秤座的哦。天秤座都很在意形象的哈哈哈。」「下面有请观赏多兰决胜战的表演：全程除了E了掘墓一下什么都没做」「。。。。小k。。。。。你这就叫忙里偷闲吧？」「t1这冲阵阵容拿到风龙魂就是如虎添翼，不知道怎么输」「猪妹太离谱了，敢先动河蟹的，不知道以为是蓝色方领先1万呢」",对应比赛画面事件待人工回看确认
E-10,49:45-50:50,27 条/5s,65 s,T1 夺冠、纪录与赛后打卡复盘,高频词：六冠、合影、faker、助攻、T1、多兰；代表弹幕：「1000助攻」「能阻止faker的只有杨景媛」,欢呼/激动,恭喜(18)、冠军(13)、六冠(12)、哈哈(6)、牛(6)、不是(5)、神(5)、再见(3),「这局keria神了」「多兰那里招笑，这不是掘墓闪现过来挡E吗？」,比赛事件反应 9% / 选手/队伍评价 56% / 玩梗/黑话 9% / 刷屏/弹幕行为 1% / 赛后打卡/复盘 23% / 争议/对骂 2%,助攻(36)、多兰(33)、Faker(26)、faker(26)、T1(14)、冠军(13)、李哥(13)、龙(12),"「多兰爆笑操作，E一下掘墓，守着金身K一个头，然后就夺冠了。」「这里多兰跑巨快哈哈哈哈哈已经准备去捧杯，被guma喊回来了」「姑妈一个人先把猪妹打残，然后单切小火龙和掘墓，太牛了！」「Faker这个时候语音里还讲了句给我助攻哈哈哈哈哈哈」「三連冠獻給OFGK組合五年美好時光最好的結局」",对应比赛画面事件待人工回看确认
