"人员","序号","论文编号","系统名称","维度定义","典型截图页码","视觉逻辑拆解","所用生物数据","感官呈现形式","交互流程","Spatiality","Literal或Mapped","设计目标","设计挑战","技术实现路径","可行性高/中/低","与主任务冲突","本项目是否采用","九维备注"
"人员1","1","","","","","","","","","","","","","","","","",""
"人员1","2","","","","","","","","","","","","","","","","",""
"人员1","3","","","","","","","","","","","","","","","","",""
"人员1","4","","","","","","","","","","","","","","","","",""
"人员1","5","","","","","","","","","","","","","","","","",""
"人员1","6","","","","","","","","","","","","","","","","",""
"人员2","1","","","","","","","","","","","","","","","","",""
"人员2","2","","","","","","","","","","","","","","","","",""
"人员2","3","","","","","","","","","","","","","","","","",""
"人员2","4","","","","","","","","","","","","","","","","",""
"人员2","5","","","","","","","","","","","","","","","","",""
"人员2","6","","","","","","","","","","","","","","","","",""
"人员3","1","","","","","","","","","","","","","","","","",""
"人员3","2","","","","","","","","","","","","","","","","",""
"人员3","3","","","","","","","","","","","","","","","","",""
"人员3","4","","","","","","","","","","","","","","","","",""
"人员3","5","","","","","","","","","","","","","","","","",""
"人员3","6","","","","","","","","","","","","","","","","",""
"人员4","1","","","","","","","","","","","","","","","","",""
"人员4","2","","","","","","","","","","","","","","","","",""
"人员4","3","","","","","","","","","","","","","","","","",""
"人员4","4","","","","","","","","","","","","","","","","",""
"人员4","5","","","","","","","","","","","","","","","","",""
"人员4","6","","","","","","","","","","","","","","","","",""
"人员5","1","","","","","","","","","","","","","","","","",""
"人员5","2","","","","","","","","","","","","","","","","",""
"人员5","3","","","","","","","","","","","","","","","","",""
"人员5","4","","","","","","","","","","","","","","","","",""
"人员5","5","","","","","","","","","","","","","","","","",""
"人员5","6","","","","","","","","","","","","","","","","",""
