index,id,time_mmss,text,speaker_role,spatial_anchor,voice_label,voice,style_label,style,styledegree,rate,pitch,volume,output_format,download_filename,audio_clip,note
1,emotion_tts_001,00:03.338,这气氛吓人啊,tense_fan,seat_left,云希(年轻男),zh-CN-YunxiNeural,紧张/恐惧,fearful,1.55,+22%,-4%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_001.wav,Audio/TTS/emotion_tts_001.wav,"opening tense line intentionally faster, per current mix feedback"
2,emotion_tts_002,00:22.400,这球当时吓死我了,tense_fan,seat_right,晓墨(成年女),zh-CN-XiaomoNeural,严肃,serious,1.50,+20%,-6%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_002.wav,Audio/TTS/emotion_tts_002.wav,"opening tense line intentionally faster, per current mix feedback"
3,emotion_tts_003,01:14.111,这种场合如此轻描淡写,excited_fan,seat_front,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.35,+14%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_003.wav,Audio/TTS/emotion_tts_003.wav,positive reactions should sound present but not like formal narration
4,emotion_tts_004,01:18.405,这才是坚毅的眼神！,excited_fan,seat_back,晓涵(成年女),zh-CN-XiaohanNeural,兴奋,excited,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_004.wav,Audio/TTS/emotion_tts_004.wav,positive reactions should sound present but not like formal narration
5,emotion_tts_005,01:20.494,心理素质成神了,excited_fan,seat_left,晓辰(年轻女),zh-CN-XiaochenNeural,友好,friendly,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_005.wav,Audio/TTS/emotion_tts_005.wav,positive reactions should sound present but not like formal narration
6,emotion_tts_006,01:22.322,球王风范！,excited_fan,seat_right,晓梦(年轻女),zh-CN-XiaomengNeural,开心,cheerful,1.35,+14%,+9%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_006.wav,Audio/TTS/emotion_tts_006.wav,positive reactions should sound present but not like formal narration
7,emotion_tts_007,01:43.322,心理素质太好了,excited_fan,seat_front,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.35,+14%,+3%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_007.wav,Audio/TTS/emotion_tts_007.wav,positive reactions should sound present but not like formal narration
8,emotion_tts_008,01:48.511,迷茫的眼神,tense_fan,seat_back,云健(成年男),zh-CN-YunjianNeural,严肃,serious,1.25,+6%,-8%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_008.wav,Audio/TTS/emotion_tts_008.wav,nervous but still quick enough to sit under match audio
9,emotion_tts_009,01:50.241,肉眼可见的兴奋,excited_fan,seat_left,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.35,+14%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_009.wav,Audio/TTS/emotion_tts_009.wav,positive reactions should sound present but not like formal narration
10,emotion_tts_010,01:58.001,Vamos,chant_fan,seat_right,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.65,+12%,+4%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_010.wav,Audio/TTS/emotion_tts_010.wav,chant/cheer lines should cut through the video more clearly
11,emotion_tts_011,02:46.484,这个也很吓人。,tense_fan,seat_front,云希(年轻男),zh-CN-YunxiNeural,紧张/恐惧,fearful,1.25,+6%,-4%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_011.wav,Audio/TTS/emotion_tts_011.wav,nervous but still quick enough to sit under match audio
12,emotion_tts_012,03:03.402,太刺激了,excited_fan,seat_back,晓涵(成年女),zh-CN-XiaohanNeural,兴奋,excited,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_012.wav,Audio/TTS/emotion_tts_012.wav,positive reactions should sound present but not like formal narration
13,emotion_tts_013,03:06.139,speed,excited_fan,seat_left,晓辰(年轻女),zh-CN-XiaochenNeural,友好,friendly,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_013.wav,Audio/TTS/emotion_tts_013.wav,positive reactions should sound present but not like formal narration
14,emotion_tts_014,03:07.519,哈哈哈哈。,amused_fan,seat_right,晓双(儿童女),zh-CN-XiaoshuangNeural,开心,cheerful,1.45,+24%,+14%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_014.wav,Audio/TTS/emotion_tts_014.wav,"short laugh reactions should be fast, bright, and varied"
